2022-06-19|06:48:03|Morning bagel|Einstein Bros Bagels|4.70
2022-07-08|16:00:40|Transit card reload|Metro|-1.20
2022-08-20|18:39:43|Iced coffee|Dunkin’|1.20
2022-09-23|22:09:14|Sold bike helmet|Craigslist|5.50
2022-10-02|05:59:31|Freelance logo design|Upwork|6.30
2022-11-30|14:33:54|Office supplies|Staples|2.80
2023-02-16|10:45:20|ATM withdrawal fee|Wells Fargo|-0.90
2023-03-17|09:18:47|Subscription renewal|Adobe|-9.00
2023-05-25|21:33:51|Sold old DVDs|eBay|2.00
2023-07-11|20:45:09|Gas refill|Shell|-5.60
2023-08-14|08:56:37|Transit fare|MTA|-2.00
2023-09-03|04:52:12|Late-night pizza|Domino’s|-3.20
2023-11-08|17:14:29|Parking meter|City of Chicago|-1.50
2023-12-03|07:41:22|Grocery run|Trader Joe’s|3.00
2024-02-14|15:06:59|Gift for partner|Bath & Body Works|-8.90
2024-03-12|09:22:47|Coffee and croissant|Starbucks|-7.10
2024-04-23|16:20:18|Streaming subscription|Spotify|-6.40
2024-05-18|11:27:56|Sold concert ticket|Ticketmaster|6.60
2024-08-31|20:50:19|Movie ticket|AMC Theatres|3.50
2024-09-28|18:09:11|Ride home|Uber|3.80
2024-10-05|22:17:35|Dinner with friends|Olive Garden|7.40
2024-11-26|19:47:02|Sold handmade candle|Etsy|5.00
2024-12-29|12:18:25|Bought digital book|Amazon|-2.90
2025-01-25|13:30:58|Sold used textbook|Facebook Marketplace|4.10
2025-02-04|10:12:30|Groceries|Walmart|-7.50
2025-03-09|15:13:22|Lunch sandwich|Subway|-4.00
2025-05-13|07:24:08|Freelance article payment|Medium|9.80
2025-06-07|08:15:27|Garage sale profit|Neighbor sale|8.30
2025-07-02|23:50:40|Late-night snack|McDonald’s|-2.40
2025-09-17|09:41:14|Online donation|Red Cross|-3.30
2025-10-16|18:30:36|Sold old phone case|Facebook Marketplace|1.00
2025-10-16|18:30:36|Bought energy drink|7-Eleven|-2.00
2025-10-16|18:31:40|Tip from delivery|DoorDash|3.00
